"Symbol","Description","Product Type","OneSource List","Transaction Fee","Select List","Schwab Social Funds List","Net Expense Ratio","Gross Expense Ratio","Inception Date","Monthly NAV Return (1 year)","Monthly NAV Return (5 year)","Monthly NAV Return (10 year)","Monthly NAV Return (Since Inception)","Monthly Market Return (1 year)","Monthly Market Return (5 year)","Monthly Market Return (10 year)","Monthly Market Return (Since Inception)","Monthly Performance as of","Quarterly NAV Return (1 year)","Quarterly NAV Return (5 year)","Quarterly NAV Return (10 year)","Quarterly NAV Return (Since Inception)","Quarterly Market Return (1 year)","Quarterly Market Return (5 year)","Quarterly Market Return (10 year)","Quarterly Market Return (Since Inception)","Quarterly Performance as of","Morningstar Category","Morningstar Overall","Morningstar 3 Year","Morningstar 5 Year","Morningstar 10 Year","Ranking as of"
"RFEU","First Trust RiverFront Dynamic Europe ETF","ETF","--","--","--","No","0.83%","0.83%","04/13/2016","+9.87%","+9.21%","--","+6.23%","+8.04%","+8.94%","--","+6.03%","04/30/2025","+3.33%","+10.42%","--","+5.99%","+2.49%","+10.35%","--","+5.92%","03/31/2025","Europe Stock","2 stars out of 82 funds","2 stars out of 82 funds","2 stars out of 81 funds","-- stars out of 58 funds","04/30/2025"
"OVF","Overlay Shares Foreign Equity ETF","ETF","--","--","--","No","0.83%","0.83%","09/30/2019","+12.17%","+7.75%","--","+4.76%","+11.94%","+7.74%","--","+4.87%","04/30/2025","+4.36%","+8.13%","--","+4.24%","+4.43%","+8.29%","--","+4.38%","03/31/2025","Foreign Large Blend","1 stars out of 657 funds","2 stars out of 657 funds","1 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"RSXJ","VanEck Russia Small-Cap ETF","ETF","--","--","--","No","0.84%","12.64%","04/13/2011","0.00%","-55.08%","-31.16%","-28.80%","0.00%","-14.36%","-5.00%","-10.43%","04/30/2025","0.00%","-53.96%","-30.14%","-28.94%","0.00%","-12.48%","-3.54%","-10.48%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"INFL","Horizon Kinetics Inflation Beneficiaries ETF","ETF","--","--","--","No","0.85%","0.85%","01/11/2021","+30.83%","--","--","+13.94%","+30.97%","--","--","+13.95%","04/30/2025","+27.10%","--","--","+13.99%","+27.15%","--","--","+14.00%","03/31/2025","Global Small/Mid Stock","5 stars out of 166 funds","5 stars out of 166 funds","-- stars out of 144 funds","-- stars out of 88 funds","04/30/2025"
"TMAT","Main Thematic Innovation ETF","ETF","--","--","--","No","0.85%","0.85%","01/28/2021","+17.12%","--","--","-6.59%","+16.73%","--","--","-6.65%","04/30/2025","+0.91%","--","--","-7.87%","+0.87%","--","--","-7.86%","03/31/2025","Global Small/Mid Stock","3 stars out of 166 funds","3 stars out of 166 funds","-- stars out of 144 funds","-- stars out of 88 funds","04/30/2025"
"TMFG","Motley Fool Global Opportunities ETF","ETF","--","--","--","No","0.85%","0.85%","06/17/2014","+12.45%","+10.89%","+9.65%","+9.42%","+12.56%","+10.90%","+9.66%","+9.43%","04/30/2025","+3.23%","+12.86%","+9.51%","+9.17%","+3.56%","+12.90%","+9.53%","+9.18%","03/31/2025","Global Large-Stock Growth","3 stars out of 325 funds","3 stars out of 325 funds","3 stars out of 279 funds","3 stars out of 195 funds","04/30/2025"
"WCMI","First Trust WCM International Equity ETF","ETF","--","--","--","No","0.85%","0.85%","03/31/2020","+15.43%","+10.69%","--","+12.46%","+15.94%","+10.79%","--","+12.56%","04/30/2025","+6.34%","+11.82%","--","+11.82%","+6.83%","+11.92%","--","+11.92%","03/31/2025","Foreign Large Blend","3 stars out of 657 funds","2 stars out of 657 funds","3 stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"AGQI","First Trust Active Global Quality Income ETF","ETF","--","--","--","No","0.85%","0.85%","09/24/2015","+6.63%","+5.31%","--","-2.73%","+6.36%","+5.27%","--","-2.75%","04/30/2025","+3.32%","+6.65%","--","-2.91%","+3.10%","+6.61%","--","-2.93%","03/31/2025","Global Large-Stock Value","-- stars out of 147 funds","-- stars out of 147 funds","-- stars out of 134 funds","-- stars out of 114 funds","04/30/2025"
"EMEQ","Macquarie Focused Emerging Markets Equity ETF","ETF","--","--","--","No","0.85%","0.85%","09/04/2024","--","--","--","+2.77%","--","--","--","+2.88%","04/30/2025","--","--","--","+2.60%","--","--","--","+3.61%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"JAPN","Horizon Kinetics Japan Owner Operator ETF","ETF","--","--","--","No","0.85%","0.85%","05/12/2025","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","Japan Stock","-- stars out of 36 funds","-- stars out of 36 funds","-- stars out of 31 funds","-- stars out of 23 funds","--"
"LENS","Sarmaya Thematic ETF","ETF","--","--","--","No","0.85%","0.85%","01/28/2025","--","--","--","+5.12%","--","--","--","+5.13%","04/30/2025","--","--","--","+8.13%","--","--","--","+8.11%","03/31/2025","Global Large-Stock Growth","-- stars out of 325 funds","-- stars out of 325 funds","-- stars out of 279 funds","-- stars out of 195 funds","04/30/2025"
"PCGG","Polen Capital Global Growth ETF","ETF","--","--","--","No","0.85%","0.85%","08/29/2023","+3.83%","--","--","+6.17%","+3.76%","--","--","+6.23%","04/30/2025","-1.87%","--","--","+6.80%","-1.68%","--","--","+6.97%","03/31/2025","Global Large-Stock Growth","-- stars out of 325 funds","-- stars out of 325 funds","-- stars out of 279 funds","-- stars out of 195 funds","04/30/2025"
"PCIG","Polen Capital International Growth ETF","ETF","--","--","--","No","0.85%","0.85%","03/14/2024","+0.73%","--","--","-5.57%","+0.90%","--","--","-5.35%","04/30/2025","-7.78%","--","--","-7.69%","-7.68%","--","--","-7.40%","03/31/2025","Foreign Large Growth","-- stars out of 368 funds","-- stars out of 368 funds","-- stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"PEMX","Putnam Emerging Markets Ex-China ETF","ETF","--","--","--","No","0.85%","0.85%","05/17/2023","+11.76%","--","--","+18.26%","+10.85%","--","--","+18.25%","04/30/2025","+4.64%","--","--","+15.81%","+8.35%","--","--","+18.29%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"CBSE","Clough Select Equity ETF","ETF","--","--","--","No","0.86%","0.86%","11/12/2020","+12.58%","--","--","+10.02%","+12.81%","--","--","+10.10%","04/30/2025","+8.34%","--","--","+10.24%","+8.12%","--","--","+10.20%","03/31/2025","Global Small/Mid Stock","5 stars out of 166 funds","5 stars out of 166 funds","-- stars out of 144 funds","-- stars out of 88 funds","04/30/2025"
"EMQQ","EMQQ The Emerging Markets Internet ETF","ETF","--","--","--","No","0.86%","0.86%","11/12/2014","+18.54%","+2.29%","+4.59%","+4.37%","+19.42%","+2.32%","+4.50%","+4.31%","04/30/2025","+23.84%","+4.43%","+5.67%","+4.36%","+23.94%","+4.46%","+5.61%","+4.35%","03/31/2025","Diversified Emerging Mkts","1 stars out of 722 funds","2 stars out of 722 funds","1 stars out of 639 funds","1 stars out of 440 funds","04/30/2025"
"FMQQ","FMQQ The Next Frontier Internet ETF","ETF","--","--","--","No","0.86%","0.86%","09/27/2021","+15.45%","--","--","-16.04%","+13.79%","--","--","-16.19%","04/30/2025","+6.59%","--","--","-18.24%","+4.86%","--","--","-18.36%","03/31/2025","Diversified Emerging Mkts","1 stars out of 722 funds","1 stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"INQQ","INQQ The India Internet ETF","ETF","--","--","--","No","0.86%","0.86%","04/05/2022","+7.45%","--","--","-1.00%","+6.02%","--","--","-1.17%","04/30/2025","+3.85%","--","--","-2.99%","+1.98%","--","--","-3.19%","03/31/2025","India Equity","1 stars out of 24 funds","1 stars out of 24 funds","-- stars out of 21 funds","-- stars out of 17 funds","04/30/2025"
"EPI","WisdomTree India Earnings Fund","ETF","--","--","--","No","0.87%","0.87%","02/22/2008","+0.77%","+21.12%","+9.32%","+4.75%","+0.62%","+22.07%","+9.36%","+4.68%","04/30/2025","+1.52%","+24.28%","+8.39%","+4.57%","+0.61%","+24.14%","+8.26%","+4.49%","03/31/2025","India Equity","4 stars out of 24 funds","4 stars out of 24 funds","5 stars out of 21 funds","4 stars out of 17 funds","04/30/2025"
"RAYE","Rayliant Quantamental Emerging Market Equity ETF","ETF","--","--","--","No","0.88%","1.46%","12/15/2021","-0.65%","--","--","+0.82%","-0.28%","--","--","+0.93%","04/30/2025","-4.58%","--","--","-0.11%","-5.15%","--","--","+0.02%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","4 stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"AFK","VanEck Africa Index ETF","ETF","--","--","--","No","0.88%","0.89%","07/10/2008","+19.44%","+6.70%","-1.16%","-2.19%","+19.81%","+6.68%","-1.20%","-2.18%","04/30/2025","+17.28%","+9.31%","-0.73%","-2.32%","+19.35%","+9.57%","-0.76%","-2.31%","03/31/2025","Miscellaneous Region","--","--","--","--","04/30/2025"
"CAS","Simplify China A Shares PLUS Income ETF","ETF","--","--","--","No","0.88%","0.88%","01/13/2025","--","--","--","+7.70%","--","--","--","+7.40%","04/30/2025","--","--","--","+2.44%","--","--","--","+1.86%","03/31/2025","China Region","-- stars out of 83 funds","-- stars out of 83 funds","-- stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"INDY","iShares India 50 ETF","ETF","--","--","--","No","0.89%","0.89%","11/18/2009","+4.83%","+14.71%","+7.53%","+6.12%","+4.87%","+15.66%","+7.56%","+6.15%","04/30/2025","+0.93%","+17.11%","+6.52%","+5.88%","+0.89%","+17.25%","+6.40%","+5.90%","03/31/2025","India Equity","3 stars out of 24 funds","3 stars out of 24 funds","2 stars out of 21 funds","3 stars out of 17 funds","04/30/2025"
"KSTR","KraneShares SSE STAR Market 50 Index ETF","ETF","--","--","--","No","0.89%","0.89%","01/26/2021","+23.87%","--","--","-13.25%","+23.90%","--","--","-13.26%","04/30/2025","+26.88%","--","--","-13.22%","+27.15%","--","--","-13.10%","03/31/2025","China Region","3 stars out of 83 funds","3 stars out of 83 funds","-- stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"JSTC","Adasina Social Justice All Cap Global ETF","ETF","--","--","--","Yes","0.89%","0.89%","12/08/2020","+11.24%","--","--","+5.78%","+10.89%","--","--","+5.75%","04/30/2025","+3.56%","--","--","+5.39%","+3.21%","--","--","+5.42%","03/31/2025","Global Large-Stock Blend","2 stars out of 312 funds","2 stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"MCHS","Matthews China Discovery Active ETF","ETF","--","--","--","No","0.89%","0.99%","01/10/2024","+7.30%","--","--","+10.61%","+7.67%","--","--","+10.54%","04/30/2025","+16.52%","--","--","+14.92%","+16.26%","--","--","+15.17%","03/31/2025","China Region","-- stars out of 83 funds","-- stars out of 83 funds","-- stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"MEMS","Matthews Emerging Markets Discovery Active ETF","ETF","--","--","--","No","0.89%","0.99%","01/10/2024","-6.18%","--","--","-3.29%","-6.44%","--","--","-3.64%","04/30/2025","-6.65%","--","--","-5.12%","-6.24%","--","--","-4.32%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"PIE","Invesco Dorsey Wright Emerging Markets Momentum ETF","ETF","--","--","--","No","0.90%","0.90%","12/28/2007","-11.56%","+4.93%","+1.65%","-0.35%","-11.23%","+5.01%","+1.57%","-0.45%","04/30/2025","-10.91%","+6.75%","+1.85%","-0.41%","-10.91%","+6.84%","+1.84%","-0.47%","03/31/2025","Diversified Emerging Mkts","2 stars out of 722 funds","1 stars out of 722 funds","2 stars out of 639 funds","2 stars out of 440 funds","04/30/2025"
"FGSM","Frontier Asset Global Small Cap Equity ETF","ETF","--","--","--","No","0.90%","0.90%","12/19/2024","--","--","--","-1.54%","--","--","--","-1.55%","04/30/2025","--","--","--","-1.62%","--","--","--","-1.52%","03/31/2025","Global Small/Mid Stock","-- stars out of 166 funds","-- stars out of 166 funds","-- stars out of 144 funds","-- stars out of 88 funds","04/30/2025"
"FINT","Frontier Asset Total International Equity ETF","ETF","--","--","--","No","0.90%","0.90%","12/19/2024","--","--","--","+6.80%","--","--","--","+6.94%","04/30/2025","--","--","--","+4.88%","--","--","--","+4.76%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"PJIO","PGIM Jennison International Opportunities ETF","ETF","--","--","--","No","0.90%","0.90%","12/14/2023","+7.57%","--","--","+9.24%","+6.81%","--","--","+8.80%","04/30/2025","-3.49%","--","--","+5.38%","-3.40%","--","--","+5.75%","03/31/2025","Foreign Large Growth","-- stars out of 368 funds","-- stars out of 368 funds","-- stars out of 333 funds","-- stars out of 220 funds","04/30/2025"
"KLIP","KraneShares KWEB Covered Call Strategy ETF","ETF","--","--","--","No","0.93%","0.93%","01/11/2023","+1.91%","--","--","+6.60%","+1.63%","--","--","+6.48%","04/30/2025","+10.51%","--","--","+9.30%","+10.46%","--","--","+9.25%","03/31/2025","China Region","-- stars out of 83 funds","-- stars out of 83 funds","-- stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"RFEM","First Trust RiverFront Dynamic Emerging Markets ETF","ETF","--","--","--","No","0.95%","0.95%","06/14/2016","+9.44%","+8.68%","--","+6.78%","+9.66%","+9.00%","--","+6.57%","04/30/2025","+10.14%","+10.39%","--","+6.83%","+10.06%","+10.50%","--","+6.61%","03/31/2025","Diversified Emerging Mkts","4 stars out of 722 funds","4 stars out of 722 funds","4 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"ROBO","Robo Global® Robotics and Automation Index ETF","ETF","--","--","--","No","0.95%","0.95%","10/22/2013","-6.51%","+5.76%","+6.94%","+6.61%","-6.06%","+5.79%","+6.94%","+6.48%","04/30/2025","-11.88%","+8.94%","+7.08%","+6.72%","-11.69%","+9.13%","+7.06%","+6.64%","03/31/2025","Global Small/Mid Stock","3 stars out of 166 funds","2 stars out of 166 funds","2 stars out of 144 funds","3 stars out of 88 funds","04/30/2025"
"WCME","First Trust WCM Developing World Equity ETF","ETF","--","--","--","No","0.95%","0.95%","03/31/2020","+9.91%","+7.01%","--","+8.94%","+10.51%","+7.13%","--","+9.05%","04/30/2025","+6.65%","+8.30%","--","+8.30%","+7.43%","+8.46%","--","+8.46%","03/31/2025","Diversified Emerging Mkts","3 stars out of 722 funds","3 stars out of 722 funds","3 stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"GLCR","GlacierShares Nasdaq Iceland ETF","ETF","--","--","--","No","0.95%","0.95%","03/26/2025","--","--","--","-7.10%","--","--","--","-5.81%","04/30/2025","--","--","--","-5.12%","--","--","--","-4.40%","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"OAIM","OneAscent International Equity ETF","ETF","--","--","--","No","0.95%","0.99%","09/14/2022","+12.56%","--","--","+15.25%","+12.76%","--","--","+15.40%","04/30/2025","+5.98%","--","--","+13.82%","+6.49%","--","--","+14.26%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"RCGE","RockCreek Global Equality ETF","ETF","--","--","--","No","0.95%","0.95%","02/26/2025","--","--","--","+1.54%","--","--","--","-4.02%","04/30/2025","--","--","--","-2.03%","--","--","--","-0.41%","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"SROI","Calamos Antetokounmpo Global Sustainable Equities ETF","ETF","--","--","--","Yes","0.95%","0.95%","02/03/2023","+7.87%","--","--","+7.77%","+8.14%","--","--","--","04/30/2025","+2.25%","--","--","+7.05%","+2.46%","--","--","--","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"DUKX","Ocean Park International ETF","ETF","--","--","--","No","0.99%","1.18%","07/10/2024","--","--","--","-10.84%","--","--","--","-10.88%","04/30/2025","--","--","--","-5.42%","--","--","--","-4.84%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"GINX","SGI Enhanced Global Income ETF","ETF","--","--","--","No","0.99%","0.99%","02/28/2024","+11.22%","--","--","+9.52%","+11.12%","--","--","+9.51%","04/30/2025","+9.05%","--","--","+11.77%","+8.75%","--","--","+11.64%","03/31/2025","Global Large-Stock Value","-- stars out of 147 funds","-- stars out of 147 funds","-- stars out of 134 funds","-- stars out of 114 funds","04/30/2025"
"NXTE","Axs Green Alpha ETF","ETF","--","--","--","Yes","1.00%","1.00%","09/27/2022","-1.45%","--","--","-0.08%","-1.53%","--","--","-0.21%","04/30/2025","-9.62%","--","--","-0.23%","-9.44%","--","--","-0.18%","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"PCCE","Polen Capital China Growth ETF","ETF","--","--","--","No","1.00%","1.00%","03/14/2024","+16.21%","--","--","+17.91%","+16.38%","--","--","+17.22%","04/30/2025","+27.39%","--","--","+21.61%","+26.29%","--","--","+21.88%","03/31/2025","China Region","-- stars out of 83 funds","-- stars out of 83 funds","-- stars out of 69 funds","-- stars out of 43 funds","04/30/2025"
"PCEM","Polen Capital Emerging Markets ex-China Growth ETF","ETF","--","--","--","No","1.00%","1.00%","09/10/2024","--","--","--","-0.32%","--","--","--","-0.05%","04/30/2025","--","--","--","-5.12%","--","--","--","-4.76%","03/31/2025","Diversified Emerging Mkts","-- stars out of 722 funds","-- stars out of 722 funds","-- stars out of 639 funds","-- stars out of 440 funds","04/30/2025"
"INTL","Main International ETF","ETF","--","--","--","No","1.03%","1.03%","12/01/2022","+9.09%","--","--","+10.53%","+8.78%","--","--","+10.45%","04/30/2025","+3.37%","--","--","+9.87%","+3.44%","--","--","+9.92%","03/31/2025","Foreign Large Blend","-- stars out of 657 funds","-- stars out of 657 funds","-- stars out of 620 funds","-- stars out of 435 funds","04/30/2025"
"EDGI","3EDGE Dynamic International Equity ETF","ETF","--","--","--","No","1.04%","1.04%","10/02/2024","--","--","--","-1.84%","--","--","--","-1.70%","04/30/2025","--","--","--","-4.30%","--","--","--","-4.22%","03/31/2025","Global Large-Stock Blend","-- stars out of 312 funds","-- stars out of 312 funds","-- stars out of 293 funds","-- stars out of 199 funds","04/30/2025"
"IFV","First Trust Dorsey Wright International Focus 5 ETF","ETF","--","--","--","No","1.09%","1.09%","07/22/2014","+9.74%","+9.21%","+2.33%","+2.28%","+9.49%","+9.02%","+2.28%","+2.17%","04/30/2025","+1.38%","+10.18%","+2.39%","+1.91%","+1.89%","+10.34%","+2.39%","+1.84%","03/31/2025","Foreign Large Blend","1 stars out of 657 funds","1 stars out of 657 funds","2 stars out of 620 funds","1 stars out of 435 funds","04/30/2025"
"AADR","AdvisorShares Dorsey Wright ADR ETF","ETF","--","--","--","No","1.10%","1.25%","07/20/2010","+24.24%","+11.66%","+7.44%","+8.61%","+24.52%","+11.79%","+7.33%","+8.72%","04/30/2025","+21.13%","+14.38%","+7.82%","+8.61%","+21.36%","+14.61%","+7.89%","+8.72%","03/31/2025","Foreign Large Growth","4 stars out of 368 funds","5 stars out of 368 funds","4 stars out of 333 funds","4 stars out of 220 funds","04/30/2025"
"FORH","Formidable ETF","ETF","--","--","--","No","1.19%","1.19%","04/29/2021","-7.79%","--","--","-2.20%","-7.80%","--","--","-2.22%","04/30/2025","-10.14%","--","--","-2.01%","-11.08%","--","--","-2.38%","03/31/2025","Global Small/Mid Stock","2 stars out of 166 funds","2 stars out of 166 funds","-- stars out of 144 funds","-- stars out of 88 funds","04/30/2025"
"IOPP","Simplify Tara India Opportunities ETF","ETF","--","--","--","No","1.21%","1.51%","03/04/2024","+8.70%","--","--","+10.38%","+7.22%","--","--","+9.46%","04/30/2025","+8.18%","--","--","+7.21%","+6.43%","--","--","+6.26%","03/31/2025","India Equity","-- stars out of 24 funds","-- stars out of 24 funds","-- stars out of 21 funds","-- stars out of 17 funds","04/30/2025"
"CGV","Conductor Global Equity Value ETF","ETF","--","--","--","No","1.25%","1.59%","04/19/2016","+4.29%","+8.46%","+4.67%","+4.54%","+4.12%","+8.48%","+4.67%","+4.54%","04/30/2025","-2.83%","+8.50%","+4.55%","+4.31%","-2.87%","+8.50%","+4.55%","+4.31%","03/31/2025","Foreign Small/Mid Value","2 stars out of 55 funds","1 stars out of 55 funds","1 stars out of 48 funds","3 stars out of 29 funds","04/30/2025"
